"visitnumber","visitid","visitstarttime","date","fullvisitorid","channelgrouping","socialengagementtype","pageviews","unit_price"
1,1496266523,1496266523,"2017-05-31",8.581545512503442E+18,"Direct","Not Socially Engaged",1,0
1,1495915193,1495915193,"2017-05-27",4.2163325571565844E+18,"Organic Search","Not Socially Engaged",1,0
4,1493743023,1493743023,"2017-05-02",1.4405278326204469E+17,"Direct","Not Socially Engaged",1,0
30,1497972526,1497972526,"2017-06-20",4.731929753431037E+18,"Paid Search","Not Socially Engaged",1,0
1,1497731142,1497731142,"2017-06-17",4.0555723155561683E+17,"Organic Search","Not Socially Engaged",1,0
1,1497830311,1497830311,"2017-06-18",6.234349661082018E+18,"Organic Search","Not Socially Engaged",1,0
1,1497667872,1497667872,"2017-06-16",6.729313893332565E+18,"Organic Search","Not Socially Engaged",1,0
1,1497861401,1497861401,"2017-06-19",9.699726554339533E+18,"Organic Search","Not Socially Engaged",1,0
1,1497898543,1497898543,"2017-06-19",8.750988765179943E+18,"Direct","Not Socially Engaged",1,0
1,1501330539,1501330539,"2017-07-29",8.1670365166296E+18,"Direct","Not Socially Engaged",1,0
3,1501599244,1501599244,"2017-08-01",7.885793634005245E+16,"Direct","Not Socially Engaged",1,0
1,1501629812,1501629812,"2017-08-01",5.211896107085086E+18,"Organic Search","Not Socially Engaged",2,0
1,1498234098,1498234812,"2017-06-23",7.519851505885011E+17,"Direct","Not Socially Engaged",2,0
1,1494206648,1494206648,"2017-05-07",2.742579189625971E+18,"Paid Search","Not Socially Engaged",2,0
2,1500996251,1500996251,"2017-07-25",4.19047758508681E+17,"Affiliates","Not Socially Engaged",2,0
1,1495050364,1495050364,"2017-05-17",1.8441701899626875E+18,"Organic Search","Not Socially Engaged",1,0
2,1494888053,1494888053,"2017-05-15",9.039939121162112E+18,"Organic Search","Not Socially Engaged",1,0
1,1501309011,1501309011,"2017-07-28",1.9448167893389908E+18,"Organic Search","Not Socially Engaged",3,0
1,1500556307,1500556307,"2017-07-20",7.136161945440474E+18,"Referral","Not Socially Engaged",3,0
6,1494452119,1494452119,"2017-05-10",6.925331235673331E+18,"Paid Search","Not Socially Engaged",2,3500000
1,1497695077,1497695077,"2017-06-17",9.125735025082204E+17,"Affiliates","Not Socially Engaged",5,0
1,1499023811,1499023811,"2017-07-02",6.502231964926576E+18,"Direct","Not Socially Engaged",4,1990000
